Season,DATETIME,SP_COND_µS_CM-1,DO_mg_L-1,PH,TEMP_degC,Chloride_mg_L-1,Nitrate_mg_L-1,Phosphate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,Aluminum_ug_L-1,Chromium_ug_L-1,Copper_ug_L-1,Arsenic_ug_L-1,Selenium_ug_L-1,Cadium_ug_L-1,Antimony_ug_L-1,Barium_ug_L-1,Thallium_ug_L-1,Lead_ug_L-1,Beryllium_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1
Fall,10/18/2024 18:00,150.1,8.92,7.72,16.841,1.881,0.14,,4.776,22.7,1.04,5.66,1.178,0.003,1.988,3.5,50,10,1.685,0.171,1.225,0.41,0,0.025,0.023,25.102,0.386,0,0,5.975,22.36,16.38
Fall,10/18/2024 22:00,150.4,8.27,7.6,15.806,1.848,0.139,,4.8,22.9,0.977,5.69,1.172,0,1.93,3.47,52,12,3.21,0.359,0.833,0.378,0,0.029,0.033,30.435,0.256,0,0.001,6.182,22.47,16.29
Fall,10/19/2024 2:00,148.7,8.16,7.51,15.115,1.888,0.141,,4.843,23,1.03,5.75,1.178,0.001,1.983,3.5,53,13,2.46,0.313,0.902,0.365,0,0.039,0.029,29.467,0.171,0,0.001,5.401,21.84,16.44
Fall,10/19/2024 6:00,152.7,8.23,7.55,14.629,1.866,0.138,,4.795,23.2,0.96,5.76,1.162,0,1.972,3.49,55,13,2.826,0.365,2.038,0.374,0,0.051,0.074,30.792,0.145,0,0,5.703,22.46,16.76
Fall,10/19/2024 10:00,152.2,8.58,7.57,15.285,1.834,,,4.776,22.9,0.908,5.72,1.128,0,1.919,3.46,48,10,2.079,0.514,0.449,0.452,0.921,0.032,0.031,36.327,0.104,0,0.001,5.54,22.11,16.57
Fall,10/19/2024 14:00,151.7,8.9,7.6,16.774,1.846,0.145,,4.826,22.6,0.982,5.7,1.144,0.001,1.944,3.51,46,11,2.167,0.46,0.559,0.432,0.632,0.026,0.028,33.693,0.084,0,0,5.557,22.18,16.62
Fall,10/19/2024 18:00,154.6,8.88,7.85,16.649,1.84,0.139,,4.799,22,0.947,5.64,1.135,0,1.933,3.52,39,11,2.275,0.457,0.439,0.42,0.44,0.037,0.032,33.701,0.096,0,0,5.775,22.45,16.67
Fall,10/19/2024 22:00,151.2,8.68,7.58,15.881,1.831,,,4.795,23,0.895,5.72,1.142,0.002,1.951,3.48,53,12,2.313,0.387,0.692,0.405,0.12,0.039,0.027,32.701,0.079,0,-0.001,5.579,22.28,16.7
Fall,10/20/2024 2:00,152.5,8.32,7.53,15.144,1.849,,,4.798,23.1,0.874,5.74,1.133,0.004,1.943,3.47,58,13,2.532,0.514,0.914,0.434,0.846,0.039,0.028,35.452,0.07,0,0,5.3,22.11,16.81
Fall,10/20/2024 6:00,150.9,8.42,7.52,14.622,1.818,,,4.872,23.3,0.893,5.78,1.144,-0.004,1.957,3.49,62,13,2.307,0.505,0.58,0.428,0.739,0.035,0.03,36.141,0.063,0,-0.001,5.559,22.6,17.04
